,id,url,primaryTitle,originalTitle,trailer,contentRating,startYear,releaseDate,interests,spokenLanguages,budget,grossWorldwide,genres,runtimeMinutes,averageRating,numVotes,company_1,company_2,company_3
41,tt0810913,https://www.imdb.com/title/tt0810913/,Jack and Jill,Jack and Jill,https://www.youtube.com/watch?v=uA48UG0gkJI,PG,2011,2011-11-11,"['Buddy Comedy', 'Comedy']",['en'],79000000.0,149673788.0,['Comedy'],91,3.3,93149,Columbia Pictures,Happy Madison Productions,Broken Road Productions
42,tt0246894,https://www.imdb.com/title/tt0246894/,Rollerball,Rollerball,https://www.youtube.com/watch?v=uFWFEoK9Yz8,PG-13,2002,2002-02-08,"['Dark Comedy', 'Extreme Sport', 'Action', 'Sci-Fi', 'Sport']","['en', 'ru', 'fr', 'ar', 'ko', 'de', 'ja']",70000000.0,25852764.0,"['Action', 'Sci-Fi', 'Sport']",98,3.1,30374,Atlas Entertainment,Canada Film Capital,Helkon Media
43,tt0058548,https://www.imdb.com/title/tt0058548/,Santa Claus Conquers the Martians,Santa Claus Conquers the Martians,https://www.youtube.com/watch?v=X06DV3Hx_Q4,Not Rated,1964,1966-11-10,"['Space Sci-Fi', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Holiday', 'Sci-Fi']",['en'],200000.0,,"['Adventure', 'Comedy', 'Family']",81,2.7,13026,Jalor Productions,,
44,tt5690360,https://www.imdb.com/title/tt5690360/,Slender Man,Slender Man,https://www.youtube.com/watch?v=ySy8mcceTno,PG-13,2018,2018-08-10,"['Psychological Horror', 'Supernatural Horror', 'Teen Horror', 'Horror', 'Mystery', 'Thriller']",['en'],10000000.0,51738549.0,"['Horror', 'Mystery', 'Thriller']",93,3.3,40593,Screen Gems,Mythology Entertainment,Madhouse Entertainment
45,tt7255568,https://www.imdb.com/title/tt7255568/,Student of the Year 2,Student of the Year 2,,Not Rated,2019,2019-05-10,"['Action', 'Comedy', 'Drama', 'Romance', 'Sport']",['hi'],800000000.0,1635907.0,"['Action', 'Comedy', 'Drama']",146,2.2,23293,Fox STAR Studios,Dharma Productions,SIF 309 Film Music
46,tt0327554,https://www.imdb.com/title/tt0327554/,Catwoman,Catwoman,https://www.youtube.com/watch?v=ePgLOVNMSTo,PG-13,2004,2004-07-23,"['Superhero', 'Action', 'Crime', 'Fantasy']","['en', 'es']",100000000.0,82402379.0,"['Action', 'Crime', 'Fantasy']",104,3.4,129049,Warner Bros.,Village Roadshow Pictures,DiNovi Pictures
47,tt0116756,https://www.imdb.com/title/tt0116756/,Kazaam,Kazaam,https://www.youtube.com/watch?v=fFVaxa1UKNg,PG,1996,1996-07-17,"['Comedy', 'Family', 'Fantasy', 'Musical']",['en'],20000000.0,18937262.0,"['Comedy', 'Family', 'Fantasy']",93,3.1,26208,Touchstone Pictures,Interscope Communications,Polygram Filmed Entertainment
48,tt9624766,https://www.imdb.com/title/tt9624766/,Jiu Jitsu,Jiu Jitsu,https://www.youtube.com/watch?v=ywhTeWg8970,R,2020,2020-11-20,"['Action', 'Sci-Fi', 'Thriller']","['en', 'my']",8000000.0,99924.0,"['Action', 'Sci-Fi', 'Thriller']",102,2.9,10955,Acme Rocket Fuel,,
49,tt9820556,https://www.imdb.com/title/tt9820556/,Breach,Breach,https://www.youtube.com/watch?v=vntSSo0yuc4,R,2020,2020-12-18,"['Dark Comedy', 'Dystopian Sci-Fi', 'Monster Horror', 'Space Sci-Fi', 'Action', 'Horror', 'Sci-Fi']",['en'],,39328.0,"['Action', 'Horror', 'Sci-Fi']",92,2.9,20500,308 Ent,Almost Never Films Inc.,Aloe Entertainment
50,tt10350922,https://www.imdb.com/title/tt10350922/,Laxmii,Laxmii,,,2020,2020-11-09,"['Action', 'Comedy', 'Horror']","['hi', 'en']",,623913.0,"['Action', 'Comedy', 'Horror']",141,2.5,59313,Cape of Good Films,Fox STAR Studios,Shabinaa Entertainment
